name,id,rating,price,stock,image,details,genre
It's Only the Himalayas,23,2,45.17,5,http://books.toscrape.com/../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,http://books.toscrape.com/catalogue/../its-only-the-himalayas_981/index.html,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,24,4,49.43,5,http://books.toscrape.com/../media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,http://books.toscrape.com/catalogue/../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel
See America: A Celebration of Our National Parks & Treasured Sites,25,3,48.87,5,http://books.toscrape.com/../media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,http://books.toscrape.com/catalogue/../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,26,2,36.94,5,http://books.toscrape.com/../media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,http://books.toscrape.com/catalogue/../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Travel
Under the Tuscan Sun,27,3,37.33,5,http://books.toscrape.com/../media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,http://books.toscrape.com/catalogue/../under-the-tuscan-sun_504/index.html,Travel
A Summer In Europe,28,2,44.34,5,http://books.toscrape.com/../media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,http://books.toscrape.com/catalogue/../a-summer-in-europe_458/index.html,Travel
The Great Railway Bazaar,29,1,30.54,5,http://books.toscrape.com/../media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,http://books.toscrape.com/catalogue/../the-great-railway-bazaar_446/index.html,Travel
A Year in Provence (Provence #1),30,4,56.88,5,http://books.toscrape.com/../media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,http://books.toscrape.com/catalogue/../a-year-in-provence-provence-1_421/index.html,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),31,1,23.21,5,http://books.toscrape.com/../media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,http://books.toscrape.com/catalogue/../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Travel
Neither Here nor There: Travels in Europe,32,3,38.95,5,http://books.toscrape.com/../media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,http://books.toscrape.com/catalogue/../neither-here-nor-there-travels-in-europe_198/index.html,Travel
"1,000 Places to See Before You Die",33,5,26.08,5,http://books.toscrape.com/../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,http://books.toscrape.com/catalogue/../1000-places-to-see-before-you-die_1/index.html,Travel
Sharp Objects,34,4,47.82,5,http://books.toscrape.com/../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,http://books.toscrape.com/catalogue/../sharp-objects_997/index.html,Mystery
"In a Dark, Dark Wood",35,1,19.63,5,http://books.toscrape.com/../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,http://books.toscrape.com/catalogue/../in-a-dark-dark-wood_963/index.html,Mystery
The Past Never Ends,36,4,56.5,5,http://books.toscrape.com/../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,http://books.toscrape.com/catalogue/../the-past-never-ends_942/index.html,Mystery
A Murder in Time,37,1,16.64,5,http://books.toscrape.com/../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,http://books.toscrape.com/catalogue/../a-murder-in-time_877/index.html,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),38,4,44.1,5,http://books.toscrape.com/../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,http://books.toscrape.com/catalogue/../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery
The Last Mile (Amos Decker #2),39,2,54.21,5,http://books.toscrape.com/../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,http://books.toscrape.com/catalogue/../the-last-mile-amos-decker-2_754/index.html,Mystery
That Darkness (Gardiner and Renner #1),40,1,13.92,5,http://books.toscrape.com/../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,http://books.toscrape.com/catalogue/../that-darkness-gardiner-and-renner-1_743/index.html,Mystery
Tastes Like Fear (DI Marnie Rome #3),41,1,10.69,5,http://books.toscrape.com/../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,http://books.toscrape.com/catalogue/../tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery
A Time of Torment (Charlie Parker #14),42,5,48.35,5,http://books.toscrape.com/../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,http://books.toscrape.com/catalogue/../a-time-of-torment-charlie-parker-14_657/index.html,Mystery
A Study in Scarlet (Sherlock Holmes #1),43,2,16.73,5,http://books.toscrape.com/../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,http://books.toscrape.com/catalogue/../a-study-in-scarlet-sherlock-holmes-1_656/index.html,Mystery
Poisonous (Max Revere Novels #3),44,3,26.8,5,http://books.toscrape.com/../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,http://books.toscrape.com/catalogue/../poisonous-max-revere-novels-3_627/index.html,Mystery
